Cedar Creek Ecosystem Science Reserve
2660 Fawn Lake Dr. NE
Bethel, MN 55005
Office:  763-434-5131
Fax:  763-434-7361
Data URL: http://cbs-cedarcreek.oit.umn.edu/research/data

Experiment Investigators:

Tilman, David 
Reich, Peter
Knope, Johannes
Wedin, David
_________________________________________________________________________

USER AGREEMENT:  As a condition for access to data provided by researchers of the Cedar Creek LTER, I agree to abide by the following code of ethics.

A. I agree to notify the Cedar Creek LTER scientists who gathered data if I would like to use those data in any publication. I acknowledge that these data were gathered by Cedar Creek scientists because they had already perceived the importance of these data for a variety of scientific and societal issues. I will provide them with formal recognition that, at their discretion, may include co-authorship or acknowledgements on publications.

B. I realize that the researchers who gathered these data may be using them for scientific analyses, papers or publications that are currently planned or in preparation, and that such activities have precedence over any that I might wish to prepare. In this case, my preparation of any work may be delayed, at the option of the Cedar Creek researchers involved, until their work is completed.

C. Because it may be possible to misinterpret a data set if it is taken out of context, I will seek the assistance and opinion of those Cedar Creek researchers involved in the design of a study and the collection of the data as I analyze the data. Moreover, I realize that this computer data set is not complete, and it may contain errors. The complete data set includes extensive written documentation, which should be referenced to reduce the chance of errors in data and errors of interpretation.

_________________________________________________________________________


"","Exp","Year","Month","Plot","NumSp","SpNum","AbvBioAnnProd","noh020tot","Field","FieldPlot"
"204",120,1997,8,69,1,1,104.658,NA,1,"1 69"
"372",120,1998,8,69,1,1,119.908,0.0967,1,"1 69"
"540",120,1999,8,69,1,1,97.8,0.2865,1,"1 69"
"708",120,2000,8,69,1,1,81.1916,0.0764,1,"1 69"
"1044",120,2001,8,69,1,1,121.551,0.1335,1,"1 69"
"1212",120,2002,8,69,1,1,84.1132,0.0584,1,"1 69"
"1380",120,2003,8,69,1,1,69.7468,NA,1,"1 69"
"1548",120,2004,8,69,1,1,72.625,NA,1,"1 69"
"1716",120,2005,8,69,1,1,51.681,NA,1,"1 69"
"396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",120,1996,8,70,4,4,488.733,0.1609,1,"1 70"
"205",120,1997,8,70,4,4,332.116,0.1029,1,"1 70"
"373",120,1998,8,70,4,4,405.25,0.0919,1,"1 70"
"541",120,1999,8,70,4,4,296.805,0.0762,1,"1 70"
"709",120,2000,8,70,4,4,283.879,0.0395,1,"1 70"
"1045",120,2001,8,70,4,4,193.229,0.25945,1,"1 70"
"1213",120,2002,8,70,4,4,296.236,0.0548,1,"1 70"
"1381",120,2003,8,70,4,4,390.338,NA,1,"1 70"
"1549",120,2004,8,70,4,4,275.213,NA,1,"1 70"
"1717",120,2005,8,70,4,4,354.268,NA,1,"1 70"
"407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",120,1996,8,73,2,3,97.409,0.0022,1,"1 73"
"206",120,1997,8,73,2,3,269.508,0.0617,1,"1 73"
"3741",120,1998,8,73,2,3,372.25,0.1471,1,"1 73"
"542",120,1999,8,73,2,3,194.042,0.0016,1,"1 73"
"710",120,2000,8,73,2,3,153.154,0.1023,1,"1 73"
"1046",120,2001,8,73,2,3,191.734,0.178,1,"1 73"
"1214",120,2002,8,73,2,3,211.869,0.0782,1,"1 73"
"1382",120,2003,8,73,2,3,156.298,NA,1,"1 73"
"1550",120,2004,8,73,2,3,196.203,NA,1,"1 73"
"1718",120,2005,8,73,2,3,142.793,NA,1,"1 73"
"418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",120,1996,8,74,8,9,161.275,0.1448,1,"1 74"
"207",120,1997,8,74,8,9,107.609,0.1289,1,"1 74"
"375",120,1998,8,74,8,9,333.283,0.0798,1,"1 74"
"543",120,1999,8,74,8,9,159.983,0.1976,1,"1 74"
"711",120,2000,8,74,8,9,213.929,0.0859,1,"1 74"
"1047",120,2001,8,74,8,9,143.646,0.14185,1,"1 74"
"1215",120,2002,8,74,8,9,194.554,0.0731,1,"1 74"
"1383",120,2003,8,74,8,9,147.034,NA,1,"1 74"
"1551",120,2004,8,74,8,9,196.95,NA,1,"1 74"
"1719",120,2005,8,74,8,9,174.928,NA,1,"1 74"
"429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",120,1996,8,75,2,2,122.4,0.0851,1,"1 75"
"208",120,1997,8,75,2,2,148.842,0.4434,1,"1 75"
"376",120,1998,8,75,2,2,128.342,0.1739,1,"1 75"
"544",120,1999,8,75,2,2,114.958,0.2544,1,"1 75"
"712",120,2000,8,75,2,2,108.912,0.1064,1,"1 75"
"1048",120,2001,8,75,2,2,137.97,0.15775,1,"1 75"
"1216",120,2002,8,75,2,2,152.454,0.0702,1,"1 75"
"1384",120,2003,8,75,2,2,97.7627,NA,1,"1 75"
"1552",120,2004,8,75,2,2,114.599,NA,1,"1 75"
"1720",120,2005,8,75,1,2,114.566,NA,1,"1 75"
"440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",120,1996,8,81,8,8,98.967,0.11,1,"1 81"
"2091",120,1997,8,81,8,8,186.783,0.0612,1,"1 81"
"377",120,1998,8,81,8,8,221.383,0.0105,1,"1 81"
"545",120,1999,8,81,8,8,141.075,0.0542,1,"1 81"
"713",120,2000,8,81,8,8,150.454,0.0361,1,"1 81"
"1049",120,2001,8,81,8,8,196.463,0.08145,1,"1 81"
"1217",120,2002,8,81,8,8,212.489,0.0194,1,"1 81"
"1385",120,2003,8,81,8,8,188.442,NA,1,"1 81"
"1553",120,2004,8,81,8,8,137.967,NA,1,"1 81"
"1721",120,2005,8,81,8,8,128.125,NA,1,"1 81"
"451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",120,1996,8,82,16,17,360.275,0.0832,1,"1 82"
"210",120,1997,8,82,16,17,183.75,0.1236,1,"1 82"
"378",120,1998,8,82,16,17,289.108,0.0098,1,"1 82"
"546",120,1999,8,82,16,17,343.192,0.1066,1,"1 82"
"714",120,2000,8,82,16,17,313.317,NA,1,"1 82"
"1050",120,2001,8,82,16,17,208.283,0.12035,1,"1 82"
"1218",120,2002,8,82,16,17,285.166,0.0705,1,"1 82"
"1386",120,2003,8,82,16,17,334.971,NA,1,"1 82"
"1554",120,2004,8,82,16,17,414.379,NA,1,"1 82"
"1722",120,2005,8,82,16,17,211.08,NA,1,"1 82"
"462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",120,1996,8,83,1,1,NA,NA,1,"1 83"
"211",120,1997,8,83,1,1,454.767,NA,1,"1 83"
"379",120,1998,8,83,1,1,298.717,0.1128,1,"1 83"
"547",120,1999,8,83,1,1,135.458,0.5551,1,"1 83"
"715",120,2000,8,83,1,1,96.5793,0.305,1,"1 83"
"1051",120,2001,8,83,1,1,228.671,0.2453,1,"1 83"
"1219",120,2002,8,83,1,1,177.878,0.2738,1,"1 83"
"1387",120,2003,8,83,1,1,328.141,NA,1,"1 83"
"1555",120,2004,8,83,1,1,191.719,NA,1,"1 83"
"1723",120,2005,8,83,1,1,89.009,NA,1,"1 83"
"473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4410",120,1996,8,87,1,1,109.017,0.0454,1,"1 87"
"212",120,1997,8,87,1,1,129.633,0.0107,1,"1 87"
"380",120,1998,8,87,1,1,76.45,0.0142,1,"1 87"
"548",120,1999,8,87,1,1,89.2208,0.0517,1,"1 87"
"716",120,2000,8,87,1,1,65.3956,NA,1,"1 87"
"1052",120,2001,8,87,1,1,82.669,0.0784,1,"1 87"
"1220",120,2002,8,87,1,1,92.15,0,1,"1 87"
"1388",120,2003,8,87,1,1,69.5453,NA,1,"1 87"
"1556",120,2004,8,87,1,1,62.1632,NA,1,"1 87"
"1724",120,2005,8,87,1,1,54.971,NA,1,"1 87"
"484",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",120,1996,8,89,16,16,159.367,0.1734,1,"1 89"
"213",120,1997,8,89,16,16,185.958,0.3231,1,"1 89"
"381",120,1998,8,89,16,16,346.783,0.0145,1,"1 89"
"549",120,1999,8,89,16,16,289.292,0.1737,1,"1 89"
"717",120,2000,8,89,16,16,408.829,0.1321,1,"1 89"
"1053",120,2001,8,89,16,16,248.351,0.1381,1,"1 89"
"1221",120,2002,8,89,16,16,307.732,0.0287,1,"1 89"
"1389",120,2003,8,89,16,16,302.583,NA,1,"1 89"
"1557",120,2004,8,89,16,16,328.395,NA,1,"1 89"
"1725",120,2005,8,89,16,16,333.332,NA,1,"1 89"
"495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",120,1996,8,92,1,1,128.192,0.1149,1,"1 92"
"214",120,1997,8,92,1,1,215,0.1354,1,"1 92"
"382",120,1998,8,92,1,1,164.467,0.1059,1,"1 92"
"550",120,1999,8,92,1,1,137.483,0.0266,1,"1 92"
"718",120,2000,8,92,1,1,118.238,0.1245,1,"1 92"
"1054",120,2001,8,92,1,1,88.4625,0.16645,1,"1 92"
"1222",120,2002,8,92,1,1,119.68,0,1,"1 92"
"1390",120,2003,8,92,1,1,104.404,NA,1,"1 92"
"1558",120,2004,8,92,1,1,98.6308,NA,1,"1 92"
"1726",120,2005,8,92,1,1,93.255,NA,1,"1 92"
"5061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",120,1996,8,93,4,4,87,0.139,1,"1 93"
"215",120,1997,8,93,4,4,356.975,0.258,1,"1 93"
"383",120,1998,8,93,4,4,381.358,0.0883,1,"1 93"
"551",120,1999,8,93,4,4,347.578,0.2486,1,"1 93"
"719",120,2000,8,93,4,4,275.384,0.19155,1,"1 93"
"1055",120,2001,8,93,4,4,361.35,0.20995,1,"1 93"
"1223",120,2002,8,93,4,4,300.159,0.4548,1,"1 93"
"1391",120,2003,8,93,4,4,261.238,NA,1,"1 93"
"1559",120,2004,8,93,4,4,299.204,NA,1,"1 93"
"1727",120,2005,8,93,4,4,195.417,NA,1,"1 93"
"5171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",120,1996,8,94,1,1,140.05,0.2321,1,"1 94"
"216",120,1997,8,94,1,1,331.417,0.3669,1,"1 94"
"384",120,1998,8,94,1,1,314.35,0.4368,1,"1 94"
"552",120,1999,8,94,1,1,81.875,0.2547,1,"1 94"
"720",120,2000,8,94,1,1,282.188,0.2213,1,"1 94"
"1056",120,2001,8,94,1,1,188.287,0.22965,1,"1 94"
"1224",120,2002,8,94,1,1,181.786,0.1911,1,"1 94"
"1392",120,2003,8,94,1,1,307.252,NA,1,"1 94"
"1560",120,2004,8,94,1,1,189.096,NA,1,"1 94"
"1728",120,2005,8,94,1,1,133.597,NA,1,"1 94"
"5281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",120,1996,8,98,8,8,160.025,0.487,1,"1 98"
"217",120,1997,8,98,8,8,275.95,0.2212,1,"1 98"
"3851",120,1998,8,98,8,8,321.458,0.0411,1,"1 98"
"553",120,1999,8,98,8,8,250.392,0.1168,1,"1 98"
"721",120,2000,8,98,8,8,342,0.2941,1,"1 98"
"1057",120,2001,8,98,8,8,249.432,0.2033,1,"1 98"
"1225",120,2002,8,98,8,8,426.648,0.0913,1,"1 98"
"1393",120,2003,8,98,8,8,348.596,NA,1,"1 98"
"1561",120,2004,8,98,8,8,345.96,NA,1,"1 98"
"1729",120,2005,8,98,8,8,369.22,NA,1,"1 98"
"5391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",120,1996,8,104,8,8,135.542,0.3133,1,"1 104"
"218",120,1997,8,104,8,8,291.617,0.1343,1,"1 104"
"386",120,1998,8,104,8,8,339.525,0.0146,1,"1 104"
"554",120,1999,8,104,8,8,222.292,0.0987,1,"1 104"
"722",120,2000,8,104,8,8,267.521,NA,1,"1 104"
"1058",120,2001,8,104,8,8,267.9,0.1045,1,"1 104"
"1226",120,2002,8,104,8,8,487.094,0.0465,1,"1 104"
"1394",120,2003,8,104,8,8,334.749,NA,1,"1 104"
"1562",120,2004,8,104,8,8,300.214,NA,1,"1 104"
"1730",120,2005,8,104,8,8,227.806,NA,1,"1 104"
"5501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",120,1996,8,107,16,17,113.008,0.0052,1,"1 107"
"219",120,1997,8,107,16,17,69.8247,0.1328,1,"1 107"
"387",120,1998,8,107,16,17,256.417,0.0477,1,"1 107"
"555",120,1999,8,107,16,17,188.725,0.0274,1,"1 107"
"723",120,2000,8,107,16,17,157.783,NA,1,"1 107"
"1059",120,2001,8,107,16,17,207.464,0.0819,1,"1 107"
"1227",120,2002,8,107,16,17,199.35,0,1,"1 107"
"1395",120,2003,8,107,16,17,158.818,NA,1,"1 107"
"1563",120,2004,8,107,16,17,208.821,NA,1,"1 107"
"1731",120,2005,8,107,16,17,220.372,NA,1,"1 107"
"561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",120,1996,8,108,16,17,101.442,0.1012,1,"1 108"
"2201",120,1997,8,108,16,17,159.025,0.1006,1,"1 108"
"388",120,1998,8,108,16,17,190.1,0.0268,1,"1 108"
"556",120,1999,8,108,16,17,164.908,0.0024,1,"1 108"
"724",120,2000,8,108,16,17,273.158,0.0151,1,"1 108"
"1060",120,2001,8,108,16,17,256.079,0.06975,1,"1 108"
"1228",120,2002,8,108,16,17,323.139,0.0022,1,"1 108"
"1396",120,2003,8,108,16,17,486.979,NA,1,"1 108"
"1564",120,2004,8,108,16,17,295.779,NA,1,"1 108"
"1732",120,2005,8,108,16,17,363.895,NA,1,"1 108"
"572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",120,1996,8,109,1,1,NA,NA,1,"1 109"
"221",120,1997,8,109,1,1,166.333,NA,1,"1 109"
"389",120,1998,8,109,1,1,59.6167,0.0986,1,"1 109"
"557",120,1999,8,109,1,1,34.8917,0.0015,1,"1 109"
"725",120,2000,8,109,1,1,66.0208,NA,1,"1 109"
"1061",120,2001,8,109,1,1,82.8325,0.07955,1,"1 109"
"1229",120,2002,8,109,1,1,115.348,0,1,"1 109"
"1397",120,2003,8,109,1,1,55.8113,NA,1,"1 109"
"1565",120,2004,8,109,1,1,63.8095,NA,1,"1 109"
"1733",120,2005,8,109,1,1,58.18,NA,1,"1 109"
"583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",120,1996,8,110,4,4,170.533,0.0812,1,"1 110"
"222",120,1997,8,110,4,4,258.858,0.186,1,"1 110"
"390",120,1998,8,110,4,4,349.408,0.0389,1,"1 110"
"558",120,1999,8,110,4,4,188.575,0.111,1,"1 110"
"726",120,2000,8,110,4,4,259.875,0.2786,1,"1 110"
"1062",120,2001,8,110,4,4,262.656,0.238,1,"1 110"
"1230",120,2002,8,110,4,4,275.825,0.028,1,"1 110"
"1398",120,2003,8,110,4,4,215.083,NA,1,"1 110"
"1566",120,2004,8,110,4,4,381.312,NA,1,"1 110"
"1734",120,2005,8,110,4,4,268.635,NA,1,"1 110"
"594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5510",120,1996,8,111,8,10,34.2,0.2388,1,"1 111"
"223",120,1997,8,111,8,10,127.159,0.3383,1,"1 111"
"391",120,1998,8,111,8,10,186.658,0.1277,1,"1 111"
"559",120,1999,8,111,8,10,276.7,0.2082,1,"1 111"
"727",120,2000,8,111,8,10,130.05,NA,1,"1 111"
"1063",120,2001,8,111,8,10,239.924,0.2814,1,"1 111"
"1231",120,2002,8,111,8,10,279.558,0.0394,1,"1 111"
"1399",120,2003,8,111,8,10,262.108,NA,1,"1 111"
"1567",120,2004,8,111,8,10,236.752,NA,1,"1 111"
"1735",120,2005,8,111,8,10,321.074,NA,1,"1 111"
"605",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",120,1996,8,115,8,9,67.708,0.2286,1,"1 115"
"224",120,1997,8,115,8,9,115.934,0.0923,1,"1 115"
"392",120,1998,8,115,8,9,138.833,0.072,1,"1 115"
"560",120,1999,8,115,8,9,96.3833,0.2746,1,"1 115"
"728",120,2000,8,115,8,9,132.705,NA,1,"1 115"
"1064",120,2001,8,115,8,9,61.4708,0.1984,1,"1 115"
"1232",120,2002,8,115,8,9,116.987,0,1,"1 115"
"1400",120,2003,8,115,8,9,79.2625,NA,1,"1 115"
"1568",120,2004,8,115,8,9,67.625,NA,1,"1 115"
"1736",120,2005,8,115,8,9,86.371,NA,1,"1 115"
"616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",120,1996,8,117,2,2,95.125,0.1656,1,"1 117"
"225",120,1997,8,117,2,2,138.325,0.584,1,"1 117"
"393",120,1998,8,117,2,2,215.667,0.157,1,"1 117"
"5611",120,1999,8,117,2,2,125.483,0.6876,1,"1 117"
"729",120,2000,8,117,2,2,140.187,0.1315,1,"1 117"
"1065",120,2001,8,117,2,2,259.258,0.4873,1,"1 117"
"1233",120,2002,8,117,2,2,171.153,0.2874,1,"1 117"
"1401",120,2003,8,117,2,2,341.533,NA,1,"1 117"
"1569",120,2004,8,117,2,2,392.104,NA,1,"1 117"
"1737",120,2005,8,117,2,2,143.168,NA,1,"1 117"
"627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",120,1996,8,118,8,9,81.742,0.2178,1,"1 118"
"226",120,1997,8,118,8,9,184.042,0.0706,1,"1 118"
"394",120,1998,8,118,8,9,134.267,0.0111,1,"1 118"
"562",120,1999,8,118,8,9,124.625,0.1734,1,"1 118"
"730",120,2000,8,118,8,9,126.013,NA,1,"1 118"
"1066",120,2001,8,118,8,9,106.656,0.1104,1,"1 118"
"1234",120,2002,8,118,8,9,185.55,0.0434,1,"1 118"
"1402",120,2003,8,118,8,9,88.4964,NA,1,"1 118"
"1570",120,2004,8,118,8,9,91.0689,NA,1,"1 118"
"1738",120,2005,8,118,8,9,122.818,NA,1,"1 118"
"638",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",120,1996,8,125,2,2,126.575,0.84,1,"1 125"
"227",120,1997,8,125,2,2,136.333,0.0705,1,"1 125"
"395",120,1998,8,125,2,2,281.525,0.043,1,"1 125"
"563",120,1999,8,125,2,2,231.258,0.0173,1,"1 125"
"731",120,2000,8,125,2,2,235.579,0.1982,1,"1 125"
"1067",120,2001,8,125,2,2,215.704,0.0952,1,"1 125"
"1235",120,2002,8,125,2,2,260.55,0.0175,1,"1 125"
"1403",120,2003,8,125,2,2,241.575,NA,1,"1 125"
"1571",120,2004,8,125,2,2,126.762,NA,1,"1 125"
"1739",120,2005,8,125,2,2,161.6,NA,1,"1 125"
"649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",120,1996,8,127,2,2,71.709,0.4936,1,"1 127"
"228",120,1997,8,127,2,2,405.967,0.8342,1,"1 127"
"3961",120,1998,8,127,2,2,578.525,0.4917,1,"1 127"
"564",120,1999,8,127,2,2,136.717,0.5842,1,"1 127"
"732",120,2000,8,127,2,2,127.71,0.5046,1,"1 127"
"1068",120,2001,8,127,2,2,100.427,0.1836,1,"1 127"
"1236",120,2002,8,127,2,2,274.812,0.1784,1,"1 127"
"1404",120,2003,8,127,2,2,168.217,NA,1,"1 127"
"1572",120,2004,8,127,2,2,261.428,NA,1,"1 127"
"1740",120,2005,8,127,2,2,281.72,NA,1,"1 127"
"660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",120,1996,8,129,1,1,45.883,0.388,1,"1 129"
"229",120,1997,8,129,1,1,151.15,0.4516,1,"1 129"
"397",120,1998,8,129,1,1,157.675,0.3058,1,"1 129"
"565",120,1999,8,129,1,1,197.408,0.3782,1,"1 129"
"733",120,2000,8,129,1,1,161.442,0.2121,1,"1 129"
"1069",120,2001,8,129,1,1,155.615,0.08735,1,"1 129"
"1237",120,2002,8,129,1,1,179.594,0.1635,1,"1 129"
"1405",120,2003,8,129,1,1,207.42,NA,1,"1 129"
"1573",120,2004,8,129,1,1,153.637,NA,1,"1 129"
"1741",120,2005,8,129,1,1,142.434,NA,1,"1 129"
"671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",120,1996,8,130,8,8,178.825,0.5222,1,"1 130"
"230",120,1997,8,130,8,8,302.683,0.2672,1,"1 130"
"398",120,1998,8,130,8,8,325.908,0.1638,1,"1 130"
"566",120,1999,8,130,8,8,280.667,0.1229,1,"1 130"
"734",120,2000,8,130,8,8,329.925,0.2162,1,"1 130"
"1070",120,2001,8,130,8,8,356.629,0.1418,1,"1 130"
"1238",120,2002,8,130,8,8,365.092,0.1525,1,"1 130"
"1406",120,2003,8,130,8,8,279.721,NA,1,"1 130"
"1574",120,2004,8,130,8,8,213.987,NA,1,"1 130"
"1742",120,2005,8,130,8,8,176.318,NA,1,"1 130"
"6821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",120,1996,8,133,4,6,171.433,0.2497,1,"1 133"
"2311",120,1997,8,133,4,6,260.392,0.188,1,"1 133"
"399",120,1998,8,133,4,6,144.008,0.1047,1,"1 133"
"567",120,1999,8,133,4,6,248.117,0.1615,1,"1 133"
"735",120,2000,8,133,4,6,248.079,0.0948,1,"1 133"
"1071",120,2001,8,133,4,6,178.858,0.1247,1,"1 133"
"1239",120,2002,8,133,4,6,240.443,0.0943,1,"1 133"
"1407",120,2003,8,133,4,6,178.992,NA,1,"1 133"
"1575",120,2004,8,133,4,6,186.421,NA,1,"1 133"
"1743",120,2005,8,133,4,6,205.329,NA,1,"1 133"
"6931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",120,1996,8,135,1,1,148.45,0.3872,1,"1 135"
"232",120,1997,8,135,1,1,139.134,0.2224,1,"1 135"
"400",120,1998,8,135,1,1,166.933,0.0924,1,"1 135"
"568",120,1999,8,135,1,1,113.375,0.0106,1,"1 135"
"736",120,2000,8,135,1,1,115.346,0.084,1,"1 135"
"1072",120,2001,8,135,1,1,107.437,0.19945,1,"1 135"
"1240",120,2002,8,135,1,1,103.518,0.1132,1,"1 135"
"1408",120,2003,8,135,1,1,107.079,NA,1,"1 135"
"1576",120,2004,8,135,1,1,85.0083,NA,1,"1 135"
"1744",120,2005,8,135,1,1,55.673,NA,1,"1 135"
"7041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",120,1996,8,136,16,17,289.483,0.4402,1,"1 136"
"233",120,1997,8,136,16,17,330.908,0.3088,1,"1 136"
"401",120,1998,8,136,16,17,397.125,0.1055,1,"1 136"
"569",120,1999,8,136,16,17,468.433,0.1494,1,"1 136"
"737",120,2000,8,136,16,17,398.696,0.1366,1,"1 136"
"1073",120,2001,8,136,16,17,288.286,0.1247,1,"1 136"
"1241",120,2002,8,136,16,17,441.603,0.0512,1,"1 136"
"1409",120,2003,8,136,16,17,418.887,NA,1,"1 136"
"1577",120,2004,8,136,16,17,444.205,NA,1,"1 136"
"1745",120,2005,8,136,16,17,361.167,NA,1,"1 136"
"7151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6610",120,1996,8,137,1,1,72.692,0.4652,1,"1 137"
"234",120,1997,8,137,1,1,176.825,0.6792,1,"1 137"
"402",120,1998,8,137,1,1,456.425,0.3266,1,"1 137"
"570",120,1999,8,137,1,1,186.508,0.429,1,"1 137"
"738",120,2000,8,137,1,1,348.054,0.2134,1,"1 137"
"1074",120,2001,8,137,1,1,199.742,0.2147,1,"1 137"
"1242",120,2002,8,137,1,1,441.407,0.1911,1,"1 137"
"1410",120,2003,8,137,1,1,622.365,NA,1,"1 137"
"1578",120,2004,8,137,1,1,376.692,NA,1,"1 137"
"1746",120,2005,8,137,1,1,371.11,NA,1,"1 137"
"7261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",120,1996,8,138,4,4,228.317,0.4444,1,"1 138"
"235",120,1997,8,138,4,4,237.175,0.2359,1,"1 138"
"403",120,1998,8,138,4,4,202.883,0.3782,1,"1 138"
"571",120,1999,8,138,4,4,179.983,0.3001,1,"1 138"
"739",120,2000,8,138,4,4,200.404,0.19585,1,"1 138"
"1075",120,2001,8,138,4,4,189.316,0.0741,1,"1 138"
"1243",120,2002,8,138,4,4,352.098,0.1048,1,"1 138"
"1411",120,2003,8,138,4,4,232.283,NA,1,"1 138"
"1579",120,2004,8,138,4,4,243.7,NA,1,"1 138"
"1747",120,2005,8,138,4,4,169.616,NA,1,"1 138"
"7371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",120,1996,8,139,4,4,323.017,0.7848,1,"1 139"
"236",120,1997,8,139,4,4,334,0.1716,1,"1 139"
"404",120,1998,8,139,4,4,399.375,0.3346,1,"1 139"
"5721",120,1999,8,139,4,4,278.958,0.2336,1,"1 139"
"740",120,2000,8,139,4,4,288.833,0.1878,1,"1 139"
"1076",120,2001,8,139,4,4,180.968,0.5717,1,"1 139"
"1244",120,2002,8,139,4,4,422.735,0.1995,1,"1 139"
"1412",120,2003,8,139,4,4,265.558,NA,1,"1 139"
"1580",120,2004,8,139,4,4,336.354,NA,1,"1 139"
"1748",120,2005,8,139,4,4,205.246,NA,1,"1 139"
"748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",120,1996,8,142,1,1,98.242,0.8497,1,"1 142"
"237",120,1997,8,142,1,1,161.85,0.08,1,"1 142"
"405",120,1998,8,142,1,1,105.075,0.2899,1,"1 142"
"573",120,1999,8,142,1,1,58.7667,0.1072,1,"1 142"
"741",120,2000,8,142,1,1,111.079,0.1206,1,"1 142"
"1077",120,2001,8,142,1,1,113.125,0.19175,1,"1 142"
"1245",120,2002,8,142,1,1,117.991,0.1116,1,"1 142"
"1413",120,2003,8,142,1,1,126.429,NA,1,"1 142"
"1581",120,2004,8,142,1,1,114.05,NA,1,"1 142"
"1749",120,2005,8,142,1,1,70.948,NA,1,"1 142"
"759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",120,1996,8,146,8,9,262.892,0.2635,1,"1 146"
"238",120,1997,8,146,8,9,270.15,0.0963,1,"1 146"
"406",120,1998,8,146,8,9,396.167,0.0546,1,"1 146"
"574",120,1999,8,146,8,9,189.125,0.0561,1,"1 146"
"742",120,2000,8,146,8,9,265.175,0.0457,1,"1 146"
"1078",120,2001,8,146,8,9,270.25,0.1053,1,"1 146"
"1246",120,2002,8,146,8,9,344.735,0,1,"1 146"
"1414",120,2003,8,146,8,9,238.755,NA,1,"1 146"
"1582",120,2004,8,146,8,9,200.937,NA,1,"1 146"
"1750",120,2005,8,146,8,9,251.401,NA,1,"1 146"
"770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",120,1996,8,149,4,6,203.517,0.5231,1,"1 149"
"239",120,1997,8,149,4,6,283.875,0.0762,1,"1 149"
"4071",120,1998,8,149,4,6,289.9,0.0355,1,"1 149"
"575",120,1999,8,149,4,6,184.108,0.0131,1,"1 149"
"743",120,2000,8,149,4,6,197.363,0.0464,1,"1 149"
"1079",120,2001,8,149,4,6,270.909,0.1458,1,"1 149"
"1247",120,2002,8,149,4,6,335.901,0.0164,1,"1 149"
"1415",120,2003,8,149,4,6,301.817,NA,1,"1 149"
"1583",120,2004,8,149,4,6,323.773,NA,1,"1 149"
"1751",120,2005,8,149,4,6,327.958,NA,1,"1 149"
"781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",120,1996,8,151,1,1,44.325,0.7568,1,"1 151"
"240",120,1997,8,151,1,1,11.9583,1.2434,1,"1 151"
"408",120,1998,8,151,1,1,20.2167,0.3995,1,"1 151"
"576",120,1999,8,151,1,1,69.2667,0.2393,1,"1 151"
"744",120,2000,8,151,1,1,27.6415,NA,1,"1 151"
"1080",120,2001,8,151,1,1,51.3918,0.42365,1,"1 151"
"1248",120,2002,8,151,1,1,60.5397,0.0859,1,"1 151"
"1416",120,2003,8,151,1,1,168.165,NA,1,"1 151"
"1584",120,2004,8,151,1,1,239.401,NA,1,"1 151"
"1752",120,2005,8,151,1,1,109.639,NA,1,"1 151"
"792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
